PackID,Avg_syn_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
1,0,0,1,0,0,0,1,0,0,0.005507,0.0005507,0,0.003345,0.001108405,3000,54,1514,769.487564,0.5,730,0,1460,769.487564,0,Windows10
2,0,0,0.9,0.1,0,0,1,0,0,0.001182,0.0001182,1.50E-05,0.000887,0.000286427,211.5,66,1454,437.0774785,0.8,147.9,0,1400,440.643078,0,Windows10
3,0,0,0.5,0,0,0.1,0.5,0.5,0,0.053836,0.0053836,3.60E-05,0.031634,0.011090733,547.5,54,1514,681.4877923,0.2,438,0,1460,799.674934,0.033333333,Windows10
4,0,0,1,0,0,0,1,0,0,0.016848,0.0016848,1.00E-06,0.011662,0.003821885,894,54,1454,722.9568913,0.4,840,0,1400,722.9568913,0,Windows10
5,0,0,0.7,0.2,0,0,0.9,0.1,0,1.216772,0.1216772,0,0.68176,0.220656297,81.6,54,249,60.15018241,0.7,24.1,0,195,64.27825795,0,Windows10
6,0.1,0.1,0.5,0.3,0,0,1,0,0,0.057661,0.0057661,0,0.035364,0.012526663,597.2,54,1514,633.7012615,0.5,542,0,1460,634.8292859,0,Windows10
7,0,0,1,0,0,0,1,0,0,0.004658,0.0004658,1.00E-06,0.002083,0.000642085,784,54,1514,769.487564,0.5,730,0,1460,769.487564,0,Windows10
8,0,0,1,0,0,0,1,0,0,0.000829,8.29E-05,0,0.000613,0.000201738,864.4,54,1454,695.6222155,0.4,810.4,0,1400,695.6222155,0,Windows10
9,0,0,1,0,0,0,1,0,0,0.003258,0.0003258,0,0.001049,0.000422969,1076,54,1514,705.2470016,0.3,1022,0,1460,705.2470016,0,Windows10
10,0,0,0.2,0.4,0,0,0.6,0.4,0,1.863186,0.1863186,8.20E-05,0.867461,0.288374217,230,54,454,162.5730605,0.3,63.8,0,368,146.9335451,0,Windows10
11,0,0,0,0,0,0,0,1,0,0.003117,0.0003117,0,0.002836,0.000937802,1261.5,87,1392,412.6772347,0,0,0,0,0,0,Windows10
12,0,0,0,0,0,0,0,1,0,0.004256,0.0004256,0,0.002816,0.00092164,1261,82,1392,414.2583735,0,0,0,0,0,0,Windows10
13,0,0,0,0,0,0,0,1,0,0.003885,0.0003885,0,0.001803,0.000695152,1262,92,1392,411.0960958,0,0,0,0,0,0,Windows10
14,0,0,1,0,0,0,1,0,0,0.017399,0.0017399,7.40E-05,0.005627,0.002379595,1034,54,1454,676.2642482,0.3,980,0,1400,676.2642482,0,Windows10
15,0,0,1,0,0,0,1,0,0,0.005462,0.0005462,6.50E-05,0.001091,0.000424466,1076,54,1514,705.2470016,0.3,1022,0,1460,705.2470016,0,Windows10
16,0,0,1,0,0,0,1,0,0,0.004474,0.0004474,0,0.001751,0.000603478,930,54,1514,753.9407581,0.4,876,0,1460,753.9407581,0,Windows10
17,0,0,0,0,0,0.1,0,1,0,0.119441,0.0119441,0.000143,0.0411,0.015755056,320.6,62,1392,429.4073953,0,0,0,0,0,0,Windows10
18,0,0,0.8,0.2,0,0,1,0,0,0.004089,0.0004089,2.00E-06,0.001771,0.000632878,409.3,54,1454,565.930512,0.5,355.3,0,1400,565.930512,0,Windows10
19,0,0,0.7,0.3,0,0,1,0,0,0.010091,0.0010091,0,0.004484,0.001819424,780.5,54,1454,681.1709281,0.4,726.5,0,1400,681.1709281,0,Windows10
20,0,0,0,0,0,0,0,1,0,0.006574,0.0006574,0,0.004627,0.001482513,1127.8,71,1392,556.9825052,0,0,0,0,0,0,Windows10
21,0,0,0,0,0,0,0,1,0,0.013015,0.0013015,1.00E-06,0.005212,0.001801321,1259.9,71,1392,417.7368789,0,0,0,0,0,0,Windows10
22,0,0,0,0,0,0,0,1,0,0.015423,0.0015423,6.00E-06,0.00542,0.001961248,1259.9,71,1392,417.7368789,0,0,0,0,0,0,Windows10
23,0,0,1,0,0,0,1,0,0,0.009497,0.0009497,0,0.006801,0.00220144,1222,54,1514,615.5900512,0.2,1168,0,1460,615.5900512,0,Windows10
24,0,0,1,0,0,0,1,0,0,0.005636,0.0005636,0,0.003108,0.000983615,1076,54,1514,705.2470016,0.3,1022,0,1460,705.2470016,0,Windows10
25,0,0,1,0,0,0,1,0,0,0.000805,8.05E-05,0,0.000586,0.000199123,1368,54,1514,461.6925384,0.1,1314,0,1460,461.6925384,0,Windows10
26,0.1,0.1,0.4,0.4,0,0,1,0,0,0.020796,0.0020796,6.50E-05,0.00722,0.002615649,582.6,54,1514,657.3582145,0.3,527.4,0,1460,658.4161467,0,Windows10
27,0,0,0,0.1,0,0.2,0.1,0.3,0.6,3.304452,0.3304452,0.002441,2.27742,0.735866351,132.5,77,387,90.97527137,0,8.7,87,87,0,0,Windows10
28,0,0,1,0,0,0,1,0,0,0.004921,0.0004921,6.60E-05,0.001651,0.000536935,3500,54,1514,769.487564,0.5,730,0,1460,769.487564,0,Windows10
29,0,0,0,0,0,0,0,1,0,0.011086,0.0011086,4.00E-06,0.004941,0.001511791,1127.8,71,1392,556.9825052,0,0,0,0,0,0,Windows10
30,0,0,0,0,0,0,0,1,0,0.089145,0.0089145,1.00E-06,0.052456,0.019630605,440,63,1392,541.9489521,0,0,0,0,0,0,Windows10
31,0,0,0,0,0,0,0,1,0,0.005494,0.0005494,0,0.002291,0.000780988,1127.8,71,1392,556.9825052,0,0,0,0,0,0,Windows10
32,0,0,1,0,0,0,1,0,0,0.003458,0.0003458,0,0.001056,0.000425446,1076,54,1514,705.2470016,0.3,1022,0,1460,705.2470016,0,Windows10
33,0,0,1,0,0,0,1,0,0,0.001144,0.0001144,0,0.000984,0.000322152,802,90,1514,750.513898,0.5,730,0,1460,769.487564,0,Windows10
34,0,0,0,0,0,0,0,1,0,0.005968,0.0005968,0,0.002136,0.000760718,1260.2,74,1392,416.7881956,0,0,0,0,0,0,Windows10
35,0,0,0,0,0,0,0,1,0,0.006523,0.0006523,1.00E-06,0.004911,0.001656075,1392,1392,1392,0,0,0,0,0,0,0,Windows10
36,0,0,0.8,0.2,0,0,1,0,0,0.010983,0.0010983,0,0.006364,0.002017286,1001.7,54,1514,677.3425278,0.3,947.7,0,1460,677.3425278,0,Windows10
37,0,0,1,0,0,0,1,0,0,0.003212,0.0003212,2.00E-06,0.001398,0.000493066,894,54,1454,722.9568913,0.4,840,0,1400,722.9568913,0,Windows10
38,0,0,0.1,0.1,0,0.2,0.2,0.2,0.6,0.464074,0.0464074,0.001362,0.099767,0.040300571,126.2,54,182,44.73328366,0.1,5.6,0,56,39.59797975,0.2,Windows10
39,0,0,0.2,0.6,0,0.2,0.8,0.2,0,0.055231,0.0055231,0,0.020027,0.00824485,239.7,54,1107,315.438337,0.2,156.2,0,1053,349.7385758,0.033333333,Windows10
40,0,0,0.7,0.3,0,0,1,0,0,0.007864,0.0007864,0,0.007126,0.002349611,956.3,54,1514,720.4322854,0.1,902.3,0,1460,720.4322854,0,Windows10
41,0,0,1,0,0,0,1,0,0,0.016129,0.0016129,4.90E-05,0.010685,0.003370294,1076,54,1514,705.2470016,0.3,1022,0,1460,705.2470016,0,Windows10
42,0.1,0,0.4,0.1,0,0.4,0.6,0.4,0,0.062473,0.0062473,3.40E-05,0.03125,0.010568896,117.5,54,571,159.5467539,0.5,51.7,0,517,211.0643662,0.4,Windows10
43,0,0,1,0,0,0,1,0,0,0.0066,0.00066,0,0.005294,0.001728394,1222,54,1514,615.5900512,0.2,1168,0,1460,615.5900512,0,Windows10
44,0,0,0.9,0.1,0,0,1,0,0,0.007758,0.0007758,1.00E-06,0.003658,0.001256679,942.6,54,1514,738.4620956,0.3,888.6,0,1460,738.4620956,0,Windows10
45,0,0,1,0,0,0,1,0,0,0.003925,0.0003925,0,0.001467,0.000518268,1036,54,1454,673.0659535,0.3,980,0,1400,676.2642482,0,Windows10
46,0,0,1,0,0,0,1,0,0,0.04756,0.004756,4.30E-05,0.035876,0.011577514,930,54,1514,753.9407581,0.4,876,0,1460,753.9407581,0,Windows10
47,0,0,1,0,0,0,1,0,0,0.002425,0.0002425,0,0.000969,0.000368749,930,54,1514,753.9407581,0.4,876,0,1460,753.9407581,0,Windows10
48,0,0,1,0,0,0,1,0,0,0.005007,0.0005007,7.10E-05,0.001043,0.000393205,894,54,1454,722.9568913,0.4,840,0,1400,722.9568913,0,Windows10
49,0,0,0,0,0,0,0,1,0,0.009355,0.0009355,0,0.005321,0.001760812,1135.3,102,1392,541.1797914,0,0,0,0,0,0,Windows10
50,0,0,0,0,0,0,0,1,0,0.016491,0.0016491,0,0.01299,0.004227181,1259.9,71,1392,417.7368789,0,0,0,0,0,0,Windows10
51,0,0,1,0,0,0,1,0,0,0.019234,0.0019234,0,0.016813,0.005514657,1076,54,1514,705.2470016,0.3,1022,0,1460,705.2470016,0,Windows10
52,0,0,1,0,0,0,1,0,0,0.00199,0.000199,0,0.001896,0.00062878,1368,54,1514,461.6925384,0.1,1314,0,1460,461.6925384,0,Windows10
53,0,0.1,0.2,0,0,0.2,0.3,0.5,0.2,0.939437,0.0939437,0.000413,0.249281,0.097080522,166.2,54,537,181.0081643,0.3,0,0,0,0,0,Windows10
54,0,0,1,0,0,0,1,0,0,0.005155,0.0005155,8.20E-05,0.001153,0.000445596,784,54,1514,769.487564,0.5,730,0,1460,769.487564,0,Windows10
55,0,0,0,0,0,0,0,1,0,0.004264,0.0004264,1.40E-05,0.003231,0.001049716,484.1,92,1392,626.5259505,0,0,0,0,0,0,Windows10
56,0,0,0.3,0.7,0,0,1,0,0,0.004412,0.0004412,0,0.002305,0.000873672,285.6,54,806,280.4881459,0.3,231.6,0,752,280.4881459,0,Windows10
57,0,0,1,0,0,0,1,0,0,0.003823,0.0003823,5.90E-05,0.000897,0.000423017,784,54,1514,769.487564,0.5,730,0,1460,769.487564,0,Windows10
58,0.1,0.1,0.4,0.4,0,0,1,0,0,0.093031,0.0093031,3.70E-05,0.04413,0.015843408,298.9,54,1107,383.578313,0.6,243.7,0,1053,384.4057607,0,Windows10
59,0,0,0,0,0,0,0,1,0,0.003231,0.0003231,0,0.001305,0.000546159,1259.9,71,1392,417.7368789,0,0,0,0,0,0,Windows10
60,0,0,0.7,0,0,0,0.7,0.3,0,0.006374,0.0006374,0,0.004784,0.001583554,790.7,54,1454,703.1873545,0.2,700,0,1400,683.1300511,0,Windows10
61,0,0,1,0,0,0,1,0,0,0.005234,0.0005234,0,0.002519,0.00109367,1034,54,1454,676.2642482,0.3,980,0,1400,676.2642482,0,Windows10
62,0,0,1,0,0,0,1,0,0,0.00192,0.000192,1.00E-06,0.000511,0.000197782,930,54,1514,753.9407581,0.4,876,0,1460,753.9407581,0,Windows10
63,0,0,0,0,0,0,0,1,0,0.005945,0.0005945,0,0.005684,0.001885666,1260.2,74,1392,416.7881956,0,0,0,0,0,0,Windows10
64,0,0,0.8,0.2,0,0,1,0,0,0.001166,0.0001166,0,0.000659,0.000209426,358.2,54,1454,578.2219489,0.5,299.4,0,1400,580.9439063,0,Windows10
65,0,0,0,0,0,0,0,1,0,0.002821,0.0002821,0,0.001684,0.000536414,1131.8,90,1392,548.5499673,0,0,0,0,0,0,Windows10
66,0,0,0.6,0.4,0,0,1,0,0,0.050432,0.0050432,0,0.047235,0.015639673,1081.5,54,1484,650.5838831,0.1,1027.5,0,1430,650.5838831,0,Windows10
67,0,0,0,0,0,0,0,1,0,0.002765,0.0002765,0,0.002401,0.000789074,1128.3,71,1392,555.9296618,0,0,0,0,0,0,Windows10
68,0,0,0.2,0.2,0,0.3,0.4,0.6,0,2.271208,0.2271208,7.50E-05,0.921082,0.285007783,199.4,55,591,180.6206583,0.2,14,1,87,40.09156187,0.1,Windows10
69,0,0,0.9,0,0,0.1,0.9,0.1,0,0.013584,0.0013584,0,0.010867,0.003528448,896.8,54,1454,719.3875173,0.3,840,0,1400,700,0.016666667,Windows10
70,0,0,0.7,0.3,0,0,1,0,0,1.012237,0.1012237,3.40E-05,0.481688,0.150403549,156.5,54,684,211.4701187,0.7,101.3,0,630,212.0739127,0,Windows10
71,0,0,0,0,0,0,0,1,0,0.002559,0.0002559,0,0.002282,0.000754434,1259.9,71,1392,417.7368789,0,0,0,0,0,0,Windows10
72,0,0,0.6,0.4,0,0,1,0,0,0.4739,0.04739,3.70E-05,0.229766,0.076370324,138.1,54,438,133.9066424,0.6,84.1,0,384,133.9066424,0,Windows10
73,0,0,0,0,0,0,0,1,0,0.006662,0.0006662,0,0.004732,0.001524681,1261.2,84,1392,413.625918,0,0,0,0,0,0,Windows10
74,0,0,0,0,0,0,0,0.9,0.1,0.007291,0.0007291,0,0.001961,0.000694186,1131.3,71,1392,549.6657671,0,0,0,0,0,0,Windows10
75,0,0,0,0,0,0,0,1,0,0.004865,0.0004865,0,0.002009,0.000776297,1128.8,76,1392,554.8743201,0,0,0,0,0,0,Windows10
76,0,0,0,0,0,0,0,1,0,0.010279,0.0010279,0,0.007861,0.002642643,1260.2,74,1392,416.7881956,0,0,0,0,0,0,Windows10
77,0,0,0.2,0,0,0.2,0.2,0.8,0,1.34341,0.134341,0.000998,1.014174,0.330252212,557.8,55,1392,619.0987715,0.2,0.1,0,1,0.707106781,0.2,Windows10
